"pattern" "condition" "absolutefreqtoken" "absolutetype" "indepfreqtoken" "indeptype" "old20" "lenght"
"cszqt" "NW" 0 0 0 0 2.85 5
"qnlvd" "NW" 0 0 0 0 2.75 5
"cphtd" "NW" 0 0 0 0 2.1 5
"nzgtp" "NW" 0 0 0 0 2.7 5
"drvtl" "NW" 0 0 0 0 2 5
"svzlm" "NW" 0 0 0 0 2.3 5
"zqfnp" "NW" 0 0 0 0 3 5
"fmdnz" "NW" 0 0 0 0 2.6 5
"scmzg" "NW" 0 0 0 0 2.25 5
"zdcgh" "NW" 0 0 0 0 2.95 5
"bdnzs" "NW" 0 0 0 0 2 5
"stmhn" "NW" 0 0 0 0 1.95 5
"nlvhf" "NW" 0 0 0 0 2.9 5
"lnvcq" "NW" 0 0 0 0 2.6 5
"bhsqg" "NW" 0 0 0 0 2.8 5
"stzmp" "NW" 0 0 0 0 1.85 5
"vaifm" "PF" 0 0 0 0 2 5
"zmqlb" "PF" 0 0 0 0 2.9 5
"ndrom" "PF" 1422 18 0 0 1.95 5
"gvpid" "PF" 0 0 0 0 2.2 5
"zuqnb" "PF" 0 0 0 0 2.75 5
"qginh" "PF" 0 0 0 0 1.95 5
"venzm" "PF" 0 0 0 0 1.9 5
"efrdq" "PF" 0 0 0 0 2.4 5
"qrabc" "PF" 0 0 0 0 2 5
"rbfgd" "PF" 0 0 0 0 2.65 5
"bslfd" "PF" 0 0 0 0 2.45 5
"tmqiz" "PF" 0 0 0 0 2.6 5
"gziou" "PF" 0 0 0 0 2 5
"cnldq" "PF" 0 0 0 0 2.15 5
"trbep" "PF" 0 0 0 0 1.95 5
"oldsh" "PF" 8 3 0 0 1.95 5
"tolsa" "PW" 0 0 0 0 1.1 5
"macre" "PW" 18 4 0 0 1 5
"scamo" "PW" 127 13 0 0 1 5
"stapa" "PW" 355 8 0 0 1 5
"barmo" "PW" 4 3 0 0 1.05 5
"tadie" "PW" 5 2 0 0 1.15 5
"slaca" "PW" 0 0 0 0 1.4 5
"necto" "PW" 32 11 0 0 1.5 5
"gnole" "PW" 158 28 0 0 1.65 5
"norfo" "PW" 182 1 0 0 1.75 5
"stugo" "PW" 0 0 0 0 1.55 5
"peaco" "PW" 36 1 0 0 1.2 5
"lieme" "PW" 6 4 0 0 1.35 5
"scobo" "PW" 3 3 0 0 1.55 5
"tofia" "PW" 0 0 0 0 1.4 5
"solpo" "PW" 0 0 0 0 1 5
"salto" "W" 4152 19 3010 1 1 5
"crema" "W" 2213 42 1539 1 1 5
"mosca" "W" 2085 25 1905 2 1 5
"pasta" "W" 1454 39 1267 1 1 5
"ombra" "W" 3529 51 2707 1 1.35 5
"dieta" "W" 1140 3 1138 1 1 5
"scala" "W" 3795 59 2514 1 1 5
"conte" "W" 29026 468 2118 1 1 5
"legno" "W" 2362 12 2299 1 1 5
"forno" "W" 1346 8 1326 1 1 5
"gusto" "W" 6683 43 2528 1 1 5
"epoca" "W" 2480 9 2418 1 1.55 5
"miele" "W" 2072 2 2064 1 1.3 5
"bosco" "W" 2330 19 2248 1 1 5
"fiato" "W" 2817 31 1815 1 1 5
"polso" "W" 1735 2 1733 1 1.25 5
